iter	Passed	Remaining
0	21	21548
1	39	19845
2	58	19291
3	75	18852
4	91	18144
5	109	18057
6	126	17948
7	144	17864
8	160	17666
9	178	17708
10	197	17734
11	215	17753
12	232	17669
13	250	17654
14	267	17568
15	283	17454
16	300	17365
17	316	17263
18	331	17139
19	347	17021
20	363	16937
21	380	16894
22	398	16910
23	413	16805
24	428	16709
25	444	16637
26	459	16572
27	476	16526
28	491	16457
29	507	16422
30	523	16353
31	538	16298
32	554	16243
33	569	16168
34	585	16140
35	601	16093
36	616	16055
37	633	16037
38	649	16013
39	664	15950
40	680	15926
41	696	15879
42	711	15834
43	726	15794
44	743	15782
45	759	15757
46	775	15716
47	791	15689
48	806	15655
49	822	15635
50	839	15621
51	856	15608
52	872	15593
53	888	15557
54	903	15530
55	919	15493
56	933	15438
57	949	15414
58	963	15372
59	979	15344
60	995	15317
61	1009	15274
62	1025	15247
63	1039	15205
64	1054	15172
65	1069	15133
66	1083	15090
67	1099	15063
68	1113	15027
69	1127	14983
70	1143	14966
71	1158	14934
72	1173	14902
73	1188	14869
74	1202	14836
75	1219	14825
76	1235	14807
77	1250	14776
78	1264	14747
79	1279	14714
80	1295	14697
81	1310	14668
82	1326	14652
83	1342	14639
84	1358	14628
85	1375	14623
86	1391	14601
87	1406	14575
88	1421	14551
89	1436	14521
90	1451	14502
91	1466	14471
92	1481	14445
93	1496	14420
94	1511	14397
95	1526	14374
96	1541	14352
97	1558	14343
98	1574	14327
99	1589	14301
100	1603	14275
101	1619	14259
102	1635	14241
103	1649	14209
104	1665	14194
105	1681	14184
106	1697	14167
107	1711	14138
108	1727	14117
109	1743	14105
110	1758	14081
111	1772	14054
112	1787	14033
113	1803	14017
114	1817	13989
115	1832	13966
116	1848	13952
117	1863	13930
118	1878	13907
119	1892	13881
120	1908	13860
121	1923	13845
122	1940	13834
123	1955	13815
124	1971	13801
125	1987	13785
126	2003	13775
127	2019	13756
128	2035	13742
129	2050	13722
130	2066	13708
131	2081	13686
132	2096	13667
133	2111	13646
134	2127	13628
135	2141	13605
136	2156	13584
137	2171	13562
138	2186	13543
139	2200	13520
140	2215	13494
141	2229	13471
142	2244	13453
143	2259	13431
144	2275	13417
145	2289	13393
146	2304	13370
147	2320	13356
148	2336	13344
149	2351	13327
150	2366	13307
151	2382	13293
152	2397	13272
153	2412	13251
154	2428	13236
155	2442	13216
156	2458	13198
157	2473	13180
158	2489	13166
159	2504	13150
160	2519	13131
161	2535	13115
162	2551	13100
163	2565	13079
164	2581	13062
165	2595	13040
166	2610	13019
167	2624	12999
168	2640	12986
169	2655	12964
170	2671	12949
171	2686	12933
172	2701	12914
173	2716	12894
174	2732	12880
175	2747	12865
176	2764	12856
177	2780	12841
178	2796	12827
179	2812	12811
180	2828	12798
181	2844	12783
182	2859	12767
183	2875	12753
184	2891	12739
185	2907	12725
186	2923	12710
187	2938	12690
188	2953	12674
189	2970	12663
190	2985	12647
191	3001	12631
192	3017	12616
193	3033	12601
194	3048	12586
195	3064	12571
196	3080	12554
197	3098	12551
198	3114	12538
199	3131	12525
200	3146	12509
201	3165	12504
202	3180	12488
203	3196	12472
204	3211	12455
